pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
REACTOME_FCGR_ACTIVATION,30,68,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211892;ENSG00000211893;ENSG00000211896;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,1.2551568790834862e-57,1.6254281584131146e-55,C2_CanonicalPathways
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,30,68,182,57622,ENSG00000132465;ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211895;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,1.2551568790834862e-57,1.6254281584131146e-55,C2_CanonicalPathways
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,30,70,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211892;ENSG00000211893;ENSG00000211896;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,3.866321945082456e-57,3.337924612587854e-55,C2_CanonicalPathways
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,30,78,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211892;ENSG00000211893;ENSG00000211896;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,2.3536894437812994e-55,1.5240139148483914e-53,C2_CanonicalPathways
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,30,81,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211892;ENSG00000211893;ENSG00000211896;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,9.569311849433178e-55,4.490032617733164e-53,C2_CanonicalPathways
REACTOME_CD22_MEDIATED_BCR_REGULATION,28,60,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211899;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,1.040161996386061e-54,4.490032617733164e-53,C2_CanonicalPathways
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,30,94,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211892;ENSG00000211893;ENSG00000211896;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,2.122372990239834e-52,7.852780063887386e-51,C2_CanonicalPathways
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,32,132,182,57622,ENSG00000015413;ENSG00000168243;ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211892;ENSG00000211893;ENSG00000211896;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,1.893199063381033e-51,6.129231967696094e-50,C2_CanonicalPathways
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,30,101,182,57622,ENSG00000132465;ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211895;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,2.69614007092059e-51,7.758891981871475e-50,C2_CanonicalPathways
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,27,70,182,57622,ENSG00000211598;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211934;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211949;ENSG00000211959;ENSG00000211962;ENSG00000211964;ENSG00000224373;ENSG00000239951;ENSG00000241351;ENSG00000243466;ENSG00000244437;ENSG00000278196,6.591147459422167e-50,1.7071071919903412e-48,C2_CanonicalPathways
