pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_ADAPTIVE_IMMUNE_RESPONSE,43,770,182,57622,ENSG00000012817;ENSG00000132465;ENSG00000183734;ENSG00000211592;ENSG00000211598;ENSG00000211637;ENSG00000211640;ENSG00000211648;ENSG00000211651;ENSG00000211653;ENSG00000211659;ENSG00000211660;ENSG00000211662;ENSG00000211663;ENSG00000211666;ENSG00000211668;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211899;ENSG00000211935;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211943;ENSG00000211945;ENSG00000211947;ENSG00000211949;ENSG00000211959;ENSG00000211964;ENSG00000211966;ENSG00000224373;ENSG00000224650;ENSG00000239951;ENSG00000241755;ENSG00000243466;ENSG00000244437;ENSG00000278196,1.6151239264730562e-40,1.2856386454725528e-37,GO_BP
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,22,189,182,57622,ENSG00000090382;ENSG00000115386;ENSG00000124102;ENSG00000132465;ENSG00000137673;ENSG00000145824;ENSG00000163735;ENSG00000164816;ENSG00000164822;ENSG00000169429;ENSG00000172016;ENSG00000172023;ENSG00000187908;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211899;ENSG00000239951;ENSG00000275896,5.036736055591294e-28,2.004620950125335e-25,GO_BP
GOBP_B_CELL_MEDIATED_IMMUNITY,22,193,182,57622,ENSG00000211592;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211935;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211943;ENSG00000211945;ENSG00000211947;ENSG00000211949;ENSG00000211959;ENSG00000211964;ENSG00000211966;ENSG00000224373;ENSG00000224650,8.119380110120002e-28,2.1543421892185075e-25,GO_BP
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,26,475,182,57622,ENSG00000012817;ENSG00000100604;ENSG00000188373;ENSG00000204936;ENSG00000211592;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211935;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211943;ENSG00000211945;ENSG00000211947;ENSG00000211949;ENSG00000211959;ENSG00000211964;ENSG00000211966;ENSG00000224373;ENSG00000224650,2.2363468830565658e-24,4.450330297282566e-22,GO_BP
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,24,409,182,57622,ENSG00000012817;ENSG00000183734;ENSG00000211592;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211935;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211943;ENSG00000211945;ENSG00000211947;ENSG00000211949;ENSG00000211959;ENSG00000211964;ENSG00000211966;ENSG00000224373;ENSG00000224650,2.8093141879168135e-23,4.472428187163567e-21,GO_BP
GOBP_HUMORAL_IMMUNE_RESPONSE,22,312,182,57622,ENSG00000090382;ENSG00000115386;ENSG00000124102;ENSG00000132465;ENSG00000137673;ENSG00000145824;ENSG00000163735;ENSG00000164816;ENSG00000164822;ENSG00000169429;ENSG00000172016;ENSG00000172023;ENSG00000187908;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211899;ENSG00000239951;ENSG00000275896,3.731308932205505e-23,4.950203183392637e-21,GO_BP
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,23,370,182,57622,ENSG00000012817;ENSG00000211592;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211935;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211943;ENSG00000211945;ENSG00000211947;ENSG00000211949;ENSG00000211959;ENSG00000211964;ENSG00000211966;ENSG00000224373;ENSG00000224650,6.496938058374405e-23,7.387946706380038e-21,GO_BP
GOBP_IMMUNE_EFFECTOR_PROCESS,28,739,182,57622,ENSG00000012817;ENSG00000100604;ENSG00000154269;ENSG00000183734;ENSG00000188373;ENSG00000204936;ENSG00000211592;ENSG00000211677;ENSG00000211679;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211935;ENSG00000211937;ENSG00000211938;ENSG00000211941;ENSG00000211943;ENSG00000211945;ENSG00000211947;ENSG00000211949;ENSG00000211959;ENSG00000211964;ENSG00000211966;ENSG00000224373;ENSG00000224650,7.047620020762121e-22,7.01238192065831e-20,GO_BP
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,40,1883,182,57622,ENSG00000090382;ENSG00000100604;ENSG00000115386;ENSG00000117983;ENSG00000124102;ENSG00000124882;ENSG00000132465;ENSG00000134193;ENSG00000134240;ENSG00000137673;ENSG00000140279;ENSG00000145824;ENSG00000148346;ENSG00000149968;ENSG00000154269;ENSG00000163735;ENSG00000164816;ENSG00000164822;ENSG00000165376;ENSG00000166825;ENSG00000169429;ENSG00000172016;ENSG00000172023;ENSG00000174992;ENSG00000179914;ENSG00000187908;ENSG00000188257;ENSG00000188373;ENSG00000198788;ENSG00000204936;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211899;ENSG00000239951;ENSG00000259823;ENSG00000275896,8.27503992933954e-22,7.318813093060304e-20,GO_BP
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,21,356,182,57622,ENSG00000090382;ENSG00000100604;ENSG00000124102;ENSG00000132465;ENSG00000137673;ENSG00000148346;ENSG00000164816;ENSG00000164822;ENSG00000174992;ENSG00000187908;ENSG00000188257;ENSG00000188373;ENSG00000211890;ENSG00000211892;ENSG00000211893;ENSG00000211895;ENSG00000211896;ENSG00000211897;ENSG00000211899;ENSG00000239951;ENSG00000259823,1.5528355889408862e-20,1.2360571287969453e-18,GO_BP
