pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9,200,182,57622,ENSG00000060718;ENSG00000105664;ENSG00000106483;ENSG00000118785;ENSG00000149968;ENSG00000166825;ENSG00000169429;ENSG00000196611;ENSG00000275896,1.7961193385787366e-08,3.0534028755838523e-07,Hallmark
HALLMARK_COAGULATION,7,138,182,57622,ENSG00000105664;ENSG00000112818;ENSG00000134240;ENSG00000137673;ENSG00000149968;ENSG00000196188;ENSG00000196611,3.193462339786622e-07,2.714442988818629e-06,Hallmark
HALLMARK_FATTY_ACID_METABOLISM,7,158,182,57622,ENSG00000104267;ENSG00000134240;ENSG00000163586;ENSG00000167434;ENSG00000170835;ENSG00000229807;ENSG00000248144,7.967187301589169e-07,4.514739470900529e-06,Hallmark
HALLMARK_ESTROGEN_RESPONSE_LATE,7,200,182,57622,ENSG00000104267;ENSG00000129451;ENSG00000134240;ENSG00000145824;ENSG00000155850;ENSG00000160182;ENSG00000166165,3.819805179969505e-06,1.6234172014870397e-05,Hallmark
HALLMARK_KRAS_SIGNALING_UP,5,200,182,57622,ENSG00000104267;ENSG00000118785;ENSG00000124882;ENSG00000162896;ENSG00000167244,0.0004589149859085011,0.0015603109520889037,Hallmark
HALLMARK_XENOBIOTIC_METABOLISM,4,200,182,57622,ENSG00000104267;ENSG00000115386;ENSG00000163586;ENSG00000248144,0.003851640026250636,0.0072753200495845344,Hallmark
HALLMARK_HEME_METABOLISM,4,197,182,57622,ENSG00000104267;ENSG00000133742;ENSG00000164398;ENSG00000196188,0.003650517225512792,0.0072753200495845344,Hallmark
HALLMARK_MYOGENESIS,4,199,182,57622,ENSG00000131730;ENSG00000133392;ENSG00000166165;ENSG00000175084,0.0037837855254437927,0.0072753200495845344,Hallmark
HALLMARK_INFLAMMATORY_RESPONSE,4,199,182,57622,ENSG00000080493;ENSG00000112818;ENSG00000124882;ENSG00000169429,0.0037837855254437927,0.0072753200495845344,Hallmark
HALLMARK_PANCREAS_BETA_CELLS,2,40,182,57622,ENSG00000100604;ENSG00000175426,0.007152020869228757,0.012158435477688887,Hallmark
HALLMARK_APICAL_JUNCTION,3,199,182,57622,ENSG00000066405;ENSG00000134762;ENSG00000163017,0.02555143356919427,0.036666006977124195,Hallmark
HALLMARK_ESTROGEN_RESPONSE_EARLY,3,200,182,57622,ENSG00000129451;ENSG00000155850;ENSG00000160182,0.02588188727797002,0.036666006977124195,Hallmark
HALLMARK_IL6_JAK_STAT3_SIGNALING,2,87,182,57622,ENSG00000115386;ENSG00000188257,0.031147398014141587,0.04073121278772362,Hallmark
HALLMARK_PEROXISOME,2,103,182,57622,ENSG00000170835;ENSG00000197888,0.042334545992378236,0.05140623441931643,Hallmark
HALLMARK_UV_RESPONSE_UP,2,157,182,57622,ENSG00000104267;ENSG00000106236,0.08850845940983545,0.10030958733114685,Hallmark
HALLMARK_HYPOXIA,2,199,182,57622,ENSG00000136872;ENSG00000167080,0.13097167423048453,0.13097167423048453,Hallmark
HALLMARK_IL2_STAT5_SIGNALING,2,199,182,57622,ENSG00000104267;ENSG00000118785,0.13097167423048453,0.13097167423048453,Hallmark
