pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,6,159,149,57622,ENSG00000070748;ENSG00000109132;ENSG00000123560;ENSG00000157005;ENSG00000163497;ENSG00000165462,3.979671294577042e-06,0.0004616418701709368,C2_CanonicalPathways
KEGG_CELL_ADHESION_MOLECULES_CAMS,5,130,149,57622,ENSG00000062038;ENSG00000156284;ENSG00000162706;ENSG00000163347;ENSG00000179915,2.3850462802487618e-05,0.0007030498650928763,C2_CanonicalPathways
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,10,718,149,57622,ENSG00000101187;ENSG00000103375;ENSG00000104888;ENSG00000118777;ENSG00000133742;ENSG00000139433;ENSG00000141338;ENSG00000142959;ENSG00000179520;ENSG00000196660,1.959957423389373e-05,0.0007030498650928763,C2_CanonicalPathways
REACTOME_DIGESTION,3,23,149,57622,ENSG00000044012;ENSG00000163295;ENSG00000197273,2.888928746173683e-05,0.0007030498650928763,C2_CanonicalPathways
REACTOME_METABOLISM_OF_LIPIDS,10,756,149,57622,ENSG00000070748;ENSG00000073734;ENSG00000101255;ENSG00000114200;ENSG00000118777;ENSG00000163106;ENSG00000163295;ENSG00000164303;ENSG00000186198;ENSG00000249948,3.0303873495382604e-05,0.0007030498650928763,C2_CanonicalPathways
REACTOME_DIGESTION_AND_ABSORPTION,3,27,149,57622,ENSG00000044012;ENSG00000163295;ENSG00000197273,4.7353024758193826e-05,0.0009154918119917473,C2_CanonicalPathways
REACTOME_PEPTIDE_HORMONE_METABOLISM,4,88,149,57622,ENSG00000092009;ENSG00000114200;ENSG00000115263;ENSG00000125851,8.456974484592113e-05,0.0012753500003563976,C2_CanonicalPathways
WP_SCFA_AND_SKELETAL_MUSCLE_SUBSTRATE_METABOLISM,2,6,149,57622,ENSG00000115263;ENSG00000131096,9.894956899316877e-05,0.0012753500003563976,C2_CanonicalPathways
WP_GLP1_FROM_INTESTINE_AND_PANCREAS_AND_ROLE_IN_GLUCOSE_HOMEOSTASIS,2,6,149,57622,ENSG00000115263;ENSG00000125851,9.894956899316877e-05,0.0012753500003563976,C2_CanonicalPathways
REACTOME_CELL_JUNCTION_ORGANIZATION,6,300,149,57622,ENSG00000062038;ENSG00000156284;ENSG00000162706;ENSG00000163347;ENSG00000164379;ENSG00000175161,0.00013941435237699618,0.0015213844664699091,C2_CanonicalPathways
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,4,101,149,57622,ENSG00000134201;ENSG00000163106;ENSG00000197165;ENSG00000242366,0.00014426921664800863,0.0015213844664699091,C2_CanonicalPathways
WP_HUNGER_AND_SATIETY,2,8,149,57622,ENSG00000115263;ENSG00000131096,0.00018407866638643053,0.001779427108402162,C2_CanonicalPathways
KEGG_ABC_TRANSPORTERS,3,44,149,57622,ENSG00000073734;ENSG00000118777;ENSG00000141338,0.00020760997037061913,0.0018525197356147553,C2_CanonicalPathways
REACTOME_CELL_CELL_COMMUNICATION,6,336,149,57622,ENSG00000062038;ENSG00000156284;ENSG00000162706;ENSG00000163347;ENSG00000164379;ENSG00000175161,0.0002564553141582452,0.0021249154601683173,C2_CanonicalPathways
WP_IRINOTECAN_PATHWAY,2,12,149,57622,ENSG00000114200;ENSG00000118777,0.0004309597429614512,0.0029406664813840205,C2_CanonicalPathways
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,2,12,149,57622,ENSG00000133742;ENSG00000168748,0.0004309597429614512,0.0029406664813840205,C2_CanonicalPathways
WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS,2,12,149,57622,ENSG00000073734;ENSG00000186198,0.0004309597429614512,0.0029406664813840205,C2_CanonicalPathways
WP_BMP2WNT4FOXO1_PATHWAY_IN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION,2,13,149,57622,ENSG00000104332;ENSG00000157005,0.0005084515513922072,0.0032766877756386687,C2_CanonicalPathways
REACTOME_HYALURONAN_DEGRADATION,2,16,149,57622,ENSG00000103888;ENSG00000133800,0.0007782582448529908,0.004751471389628786,C2_CanonicalPathways
WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY,2,17,149,57622,ENSG00000073734;ENSG00000186198,0.0008805300735975903,0.005107074426866023,C2_CanonicalPathways
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,2,18,149,57622,ENSG00000073734;ENSG00000186198,0.0009889165965905188,0.005462586914500009,C2_CanonicalPathways
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,2,19,149,57622,ENSG00000114200;ENSG00000115263,0.0011033859350442258,0.005817853112051373,C2_CanonicalPathways
REACTOME_HYALURONAN_METABOLISM,2,20,149,57622,ENSG00000103888;ENSG00000133800,0.0012239063322204223,0.006172744979894304,C2_CanonicalPathways
REACTOME_GPCR_LIGAND_BINDING,6,461,149,57622,ENSG00000065325;ENSG00000115263;ENSG00000131096;ENSG00000157005;ENSG00000185149;ENSG00000274736,0.0013316786710342885,0.006266070150008218,C2_CanonicalPathways
REACTOME_SLC_MEDIATED_TRANSPORT_OF_NEUROTRANSMITTERS,2,21,149,57622,ENSG00000104888;ENSG00000179520,0.0013504461530190123,0.006266070150008218,C2_CanonicalPathways
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_STAGE_3_OF_3,3,87,149,57622,ENSG00000104332;ENSG00000164379;ENSG00000197561,0.0015319501827009757,0.006581711896048637,C2_CanonicalPathways
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,5,320,149,57622,ENSG00000030304;ENSG00000092009;ENSG00000102683;ENSG00000179915;ENSG00000197561,0.0015257416603695487,0.006581711896048637,C2_CanonicalPathways
KEGG_NITROGEN_METABOLISM,2,23,149,57622,ENSG00000133742;ENSG00000168748,0.0016214581308165582,0.00671746939909717,C2_CanonicalPathways
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,4,195,149,57622,ENSG00000131096;ENSG00000157005;ENSG00000185149;ENSG00000274736,0.0017110956421016986,0.006844382568406794,C2_CanonicalPathways
REACTOME_PHOSPHOLIPID_METABOLISM,4,212,149,57622,ENSG00000070748;ENSG00000114200;ENSG00000163295;ENSG00000164303,0.002316878928815655,0.008669611475568259,C2_CanonicalPathways
REACTOME_BIOLOGICAL_OXIDATIONS,4,211,149,57622,ENSG00000134201;ENSG00000163106;ENSG00000197165;ENSG00000242366,0.002277679513133304,0.008669611475568259,C2_CanonicalPathways
REACTOME_SYNTHESIS_OF_PC,2,28,149,57622,ENSG00000070748;ENSG00000114200,0.0024021367669218125,0.00870774578009157,C2_CanonicalPathways
REACTOME_TIGHT_JUNCTION_INTERACTIONS,2,29,149,57622,ENSG00000156284;ENSG00000163347,0.0025757075750428996,0.008787708197205188,C2_CanonicalPathways
WP_DISORDERS_OF_BILE_ACID_SYNTHESIS_AND_BILIARY_TRANSPORT,2,29,149,57622,ENSG00000073734;ENSG00000186198,0.0025757075750428996,0.008787708197205188,C2_CanonicalPathways
REACTOME_DRUG_ADME,3,106,149,57622,ENSG00000114200;ENSG00000118777;ENSG00000242366,0.002690354707427045,0.008916604173186779,C2_CanonicalPathways
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,2,33,149,57622,ENSG00000092009;ENSG00000197561,0.003327088125160215,0.010430870878880673,C2_CanonicalPathways
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,2,33,149,57622,ENSG00000065325;ENSG00000115263,0.003327088125160215,0.010430870878880673,C2_CanonicalPathways
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,4,242,149,57622,ENSG00000062038;ENSG00000162706;ENSG00000164379;ENSG00000175161,0.0037199675484893236,0.010836179092292562,C2_CanonicalPathways
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,4,241,149,57622,ENSG00000101187;ENSG00000104888;ENSG00000179520;ENSG00000196660,0.0036657298874144826,0.010836179092292562,C2_CanonicalPathways
REACTOME_GLUTATHIONE_CONJUGATION,2,35,149,57622,ENSG00000134201;ENSG00000163106,0.0037366134801008837,0.010836179092292562,C2_CanonicalPathways
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,2,36,149,57622,ENSG00000156284;ENSG00000163347,0.003949729914192168,0.01117484561088516,C2_CanonicalPathways
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,3,129,149,57622,ENSG00000070748;ENSG00000114200;ENSG00000163295,0.004668059281301201,0.012805331420176244,C2_CanonicalPathways
