pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_BEHAVIOR,14,699,149,57622,ENSG00000030304;ENSG00000036672;ENSG00000044012;ENSG00000104888;ENSG00000114200;ENSG00000115263;ENSG00000131096;ENSG00000162670;ENSG00000163106;ENSG00000163497;ENSG00000176399;ENSG00000179915;ENSG00000185149;ENSG00000233670,4.74356829706118e-09,1.5020038954713936e-06,GO_BP
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,19,1331,149,57622,ENSG00000062038;ENSG00000065325;ENSG00000101255;ENSG00000104332;ENSG00000104435;ENSG00000109132;ENSG00000111846;ENSG00000115263;ENSG00000143171;ENSG00000157005;ENSG00000163347;ENSG00000165197;ENSG00000166292;ENSG00000168309;ENSG00000170419;ENSG00000179915;ENSG00000196660;ENSG00000198650;ENSG00000242366,2.0274841753285137e-09,1.5020038954713936e-06,GO_BP
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS,20,1583,149,57622,ENSG00000062038;ENSG00000065325;ENSG00000101255;ENSG00000104332;ENSG00000104435;ENSG00000109132;ENSG00000111846;ENSG00000114200;ENSG00000115263;ENSG00000143171;ENSG00000157005;ENSG00000163347;ENSG00000165197;ENSG00000166292;ENSG00000168309;ENSG00000170419;ENSG00000179915;ENSG00000196660;ENSG00000198650;ENSG00000242366,5.791788800018227e-09,1.5020038954713936e-06,GO_BP
GOBP_DOPAMINERGIC_NEURON_DIFFERENTIATION,5,38,149,57622,ENSG00000104332;ENSG00000109132;ENSG00000147655;ENSG00000165197;ENSG00000165462,5.0630818351903855e-08,9.8476941694453e-06,GO_BP
GOBP_GENERATION_OF_NEURONS,18,1561,149,57622,ENSG00000015592;ENSG00000034971;ENSG00000104332;ENSG00000104435;ENSG00000108231;ENSG00000109132;ENSG00000114200;ENSG00000123560;ENSG00000147655;ENSG00000157193;ENSG00000162670;ENSG00000163497;ENSG00000165197;ENSG00000165462;ENSG00000169862;ENSG00000171617;ENSG00000179915;ENSG00000186462,1.3784817745363274e-07,2.1449176411785253e-05,GO_BP
GOBP_HOMEOSTATIC_PROCESS,19,1877,149,57622,ENSG00000044012;ENSG00000062038;ENSG00000073734;ENSG00000092009;ENSG00000103888;ENSG00000104888;ENSG00000109132;ENSG00000111846;ENSG00000115263;ENSG00000136546;ENSG00000163347;ENSG00000168079;ENSG00000168748;ENSG00000179520;ENSG00000184544;ENSG00000196660;ENSG00000197561;ENSG00000240505;ENSG00000274736,4.391598516972814e-07,5.336914303856437e-05,GO_BP
GOBP_CELL_JUNCTION_ORGANIZATION,13,868,149,57622,ENSG00000030304;ENSG00000034971;ENSG00000062038;ENSG00000104332;ENSG00000129474;ENSG00000141668;ENSG00000157193;ENSG00000163347;ENSG00000168309;ENSG00000169862;ENSG00000179915;ENSG00000182271;ENSG00000204936,4.801850916066203e-07,5.336914303856437e-05,GO_BP
GOBP_CELL_CELL_SIGNALING,16,1365,149,57622,ENSG00000070748;ENSG00000104888;ENSG00000108231;ENSG00000114200;ENSG00000115263;ENSG00000119147;ENSG00000123560;ENSG00000141668;ENSG00000152785;ENSG00000157005;ENSG00000157193;ENSG00000168309;ENSG00000179520;ENSG00000179915;ENSG00000185149;ENSG00000274736,5.778843848449152e-07,5.6199256426168e-05,GO_BP
GOBP_CELL_ADHESION,17,1555,149,57622,ENSG00000034971;ENSG00000062038;ENSG00000104332;ENSG00000111846;ENSG00000129474;ENSG00000133800;ENSG00000156284;ENSG00000162706;ENSG00000163347;ENSG00000168309;ENSG00000169862;ENSG00000175161;ENSG00000179915;ENSG00000182271;ENSG00000185149;ENSG00000197561;ENSG00000204936,6.554947571526984e-07,5.666388011831104e-05,GO_BP
GOBP_TRANSMEMBRANE_TRANSPORT,17,1585,149,57622,ENSG00000073734;ENSG00000101187;ENSG00000101255;ENSG00000103375;ENSG00000103888;ENSG00000104888;ENSG00000118777;ENSG00000136546;ENSG00000141338;ENSG00000142959;ENSG00000168079;ENSG00000179520;ENSG00000182938;ENSG00000183034;ENSG00000184544;ENSG00000186198;ENSG00000196660,8.507133137164466e-07,6.618549580713954e-05,GO_BP
GOBP_CELL_MIGRATION,17,1637,149,57622,ENSG00000034971;ENSG00000062038;ENSG00000103888;ENSG00000104332;ENSG00000109132;ENSG00000111846;ENSG00000129474;ENSG00000133800;ENSG00000157005;ENSG00000157193;ENSG00000163347;ENSG00000165197;ENSG00000168309;ENSG00000182271;ENSG00000197561;ENSG00000204936;ENSG00000274736,1.3174518306891414e-06,7.908465355791147e-05,GO_BP
GOBP_NEUROGENESIS,18,1816,149,57622,ENSG00000015592;ENSG00000034971;ENSG00000104332;ENSG00000104435;ENSG00000108231;ENSG00000109132;ENSG00000114200;ENSG00000123560;ENSG00000147655;ENSG00000157193;ENSG00000162670;ENSG00000163497;ENSG00000165197;ENSG00000165462;ENSG00000169862;ENSG00000171617;ENSG00000179915;ENSG00000186462,1.2182197011470513e-06,7.908465355791147e-05,GO_BP
GOBP_CHEMICAL_HOMEOSTASIS,14,1111,149,57622,ENSG00000044012;ENSG00000073734;ENSG00000092009;ENSG00000103888;ENSG00000104888;ENSG00000115263;ENSG00000136546;ENSG00000168079;ENSG00000168748;ENSG00000179520;ENSG00000184544;ENSG00000196660;ENSG00000197561;ENSG00000274736,1.3214659334869526e-06,7.908465355791147e-05,GO_BP
GOBP_SYNAPTIC_SIGNALING,12,836,149,57622,ENSG00000070748;ENSG00000104888;ENSG00000108231;ENSG00000114200;ENSG00000123560;ENSG00000141668;ENSG00000157005;ENSG00000157193;ENSG00000168309;ENSG00000179520;ENSG00000179915;ENSG00000185149,2.0838389668307195e-06,0.00011580190829959283,GO_BP
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION,17,1737,149,57622,ENSG00000062038;ENSG00000065325;ENSG00000104332;ENSG00000109132;ENSG00000111846;ENSG00000114200;ENSG00000119147;ENSG00000157005;ENSG00000163106;ENSG00000163347;ENSG00000165197;ENSG00000170419;ENSG00000172987;ENSG00000182271;ENSG00000197561;ENSG00000240505;ENSG00000274736,2.912209179345912e-06,0.0001510465827687413,GO_BP
GOBP_RESPONSE_TO_STEROID_HORMONE,8,341,149,57622,ENSG00000104332;ENSG00000114200;ENSG00000143171;ENSG00000157005;ENSG00000163347;ENSG00000168309;ENSG00000198650;ENSG00000242366,3.344221277394206e-06,0.00016261275961329327,GO_BP
GOBP_LIPID_METABOLIC_PROCESS,15,1405,149,57622,ENSG00000070748;ENSG00000073734;ENSG00000101255;ENSG00000103375;ENSG00000118777;ENSG00000123560;ENSG00000129474;ENSG00000141338;ENSG00000147724;ENSG00000157193;ENSG00000163106;ENSG00000164303;ENSG00000197165;ENSG00000242366;ENSG00000249948,4.125288968825926e-06,0.00018879263633803353,GO_BP
GOBP_RESPONSE_TO_HORMONE,12,942,149,57622,ENSG00000065325;ENSG00000101255;ENSG00000104332;ENSG00000114200;ENSG00000115263;ENSG00000143171;ENSG00000157005;ENSG00000163347;ENSG00000168309;ENSG00000196660;ENSG00000198650;ENSG00000242366,6.976619323644802e-06,0.00030154499076642533,GO_BP
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,16,1685,149,57622,ENSG00000044012;ENSG00000065325;ENSG00000092009;ENSG00000101255;ENSG00000103375;ENSG00000104332;ENSG00000114200;ENSG00000115263;ENSG00000133742;ENSG00000162670;ENSG00000163347;ENSG00000182271;ENSG00000185149;ENSG00000196660;ENSG00000197561;ENSG00000198650,8.453768808041935e-06,0.0003461595859292961,GO_BP
GOBP_REGULATION_OF_LOCOMOTION,13,1143,149,57622,ENSG00000034971;ENSG00000103888;ENSG00000104332;ENSG00000111846;ENSG00000129474;ENSG00000133800;ENSG00000157005;ENSG00000163347;ENSG00000165197;ENSG00000168309;ENSG00000182271;ENSG00000197561;ENSG00000274736,9.590745678710705e-06,0.0003553142922874728,GO_BP
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,7,281,149,57622,ENSG00000030304;ENSG00000034971;ENSG00000104332;ENSG00000141668;ENSG00000163347;ENSG00000168309;ENSG00000179915,9.45891388622135e-06,0.0003553142922874728,GO_BP
GOBP_CELL_JUNCTION_ASSEMBLY,9,524,149,57622,ENSG00000030304;ENSG00000034971;ENSG00000062038;ENSG00000104332;ENSG00000129474;ENSG00000141668;ENSG00000163347;ENSG00000168309;ENSG00000179915,1.0050810123951774e-05,0.00035543319438338547,GO_BP
GOBP_LOCOMOTION,14,1333,149,57622,ENSG00000034971;ENSG00000103888;ENSG00000104332;ENSG00000111846;ENSG00000129474;ENSG00000133800;ENSG00000157005;ENSG00000163347;ENSG00000165197;ENSG00000166091;ENSG00000168309;ENSG00000182271;ENSG00000197561;ENSG00000274736,1.0529122816800646e-05,0.0003561590239769958,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,5,113,149,57622,ENSG00000034971;ENSG00000104332;ENSG00000141668;ENSG00000163347;ENSG00000179915,1.2115123662935986e-05,0.00037788617794501714,GO_BP
GOBP_CELL_MOTILITY,17,1938,149,57622,ENSG00000034971;ENSG00000062038;ENSG00000103888;ENSG00000104332;ENSG00000109132;ENSG00000111846;ENSG00000129474;ENSG00000133800;ENSG00000157005;ENSG00000157193;ENSG00000163347;ENSG00000165197;ENSG00000168309;ENSG00000182271;ENSG00000197561;ENSG00000204936;ENSG00000274736,1.2142872041934997e-05,0.00037788617794501714,GO_BP
GOBP_CELL_CELL_ADHESION,12,1005,149,57622,ENSG00000062038;ENSG00000111846;ENSG00000129474;ENSG00000156284;ENSG00000162706;ENSG00000163347;ENSG00000169862;ENSG00000175161;ENSG00000179915;ENSG00000182271;ENSG00000197561;ENSG00000204936,1.3267325853231015e-05,0.0003969992120697589,GO_BP
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS,10,697,149,57622,ENSG00000065325;ENSG00000101255;ENSG00000104332;ENSG00000115263;ENSG00000143171;ENSG00000157005;ENSG00000168309;ENSG00000196660;ENSG00000198650;ENSG00000242366,1.5221531516354566e-05,0.00043860561184162414,GO_BP
GOBP_INORGANIC_ION_HOMEOSTASIS,9,558,149,57622,ENSG00000103888;ENSG00000104888;ENSG00000136546;ENSG00000168079;ENSG00000179520;ENSG00000184544;ENSG00000196660;ENSG00000197561;ENSG00000274736,1.6503955692936926e-05,0.00045857419746803314,GO_BP
GOBP_NEURON_DEVELOPMENT,13,1209,149,57622,ENSG00000015592;ENSG00000034971;ENSG00000104332;ENSG00000104435;ENSG00000108231;ENSG00000109132;ENSG00000123560;ENSG00000157193;ENSG00000163497;ENSG00000165462;ENSG00000169862;ENSG00000171617;ENSG00000179915,1.7271479494141073e-05,0.00046335210504971566,GO_BP
GOBP_XENOBIOTIC_TRANSPORT,4,61,149,57622,ENSG00000073734;ENSG00000118777;ENSG00000141338;ENSG00000163347,1.99788408864274e-05,0.0005181179403213506,GO_BP
GOBP_MONOATOMIC_ION_TRANSPORT,13,1244,149,57622,ENSG00000044012;ENSG00000101187;ENSG00000103888;ENSG00000104888;ENSG00000115263;ENSG00000136546;ENSG00000142959;ENSG00000168079;ENSG00000179520;ENSG00000182938;ENSG00000183034;ENSG00000184544;ENSG00000196660,2.3216045402261726e-05,0.0005826478491277298,GO_BP
GOBP_ORGANIC_ANION_TRANSPORT,8,453,149,57622,ENSG00000073734;ENSG00000101187;ENSG00000104888;ENSG00000118777;ENSG00000139433;ENSG00000142959;ENSG00000179520;ENSG00000186198,2.5979116729254422e-05,0.0006243947442539604,GO_BP
GOBP_EPITHELIUM_DEVELOPMENT,13,1260,149,57622,ENSG00000062038;ENSG00000104332;ENSG00000120254;ENSG00000129474;ENSG00000131096;ENSG00000147655;ENSG00000163347;ENSG00000164379;ENSG00000166292;ENSG00000167767;ENSG00000167916;ENSG00000175832;ENSG00000182271,2.6484609974782384e-05,0.0006243947442539604,GO_BP
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,12,1087,149,57622,ENSG00000030304;ENSG00000034971;ENSG00000062038;ENSG00000101255;ENSG00000104332;ENSG00000111846;ENSG00000152785;ENSG00000165197;ENSG00000166292;ENSG00000168546;ENSG00000179915;ENSG00000196660,2.853736142096632e-05,0.0006530019760444646,GO_BP
GOBP_LIPID_LOCALIZATION,8,473,149,57622,ENSG00000073734;ENSG00000101187;ENSG00000118777;ENSG00000119147;ENSG00000139433;ENSG00000141338;ENSG00000170419;ENSG00000186198,3.5243846490021254e-05,0.0007834203591210438,GO_BP
