repeat,fold,strategy,model,roc_auc,pr_auc,best_params,error,seconds
0,0,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,9.3
0,0,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,8.9
0,0,de_informed,xgboost,0.9322916666666667,0.9888905582264957,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,5.7
0,0,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.0
0,0,data_driven,random_forest,0.9986979166666666,0.9998926116838488,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,2.1
0,0,data_driven,xgboost,0.99609375,0.9996744556165973,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.1
0,0,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,3.0
0,0,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,5.1
0,0,pathway,xgboost,0.9986979166666666,0.9998926116838488,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,2.8
0,1,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,7.5
0,1,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,12.5
0,1,de_informed,xgboost,0.9271907216494846,0.9882271723122239,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,7.2
0,1,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.9
0,1,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.3
0,1,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.5
0,1,pathway,elastic_net,0.9948453608247423,0.9995917117484945,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,3.9
0,1,pathway,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,7.4
0,1,pathway,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,4.8
0,2,de_informed,elastic_net,1.0,0.9999999999999999,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,11.0
0,2,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,13.3
