,significant_association_frequency
HALLMARK_ADIPOGENESIS,1.0
HALLMARK_G2M_CHECKPOINT,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.0
HALLMARK_UV_RESPONSE_DN,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.0
HALLMARK_PANCREAS_BETA_CELLS,1.0
HALLMARK_P53_PATHWAY,1.0
HALLMARK_MYOGENESIS,1.0
HALLMARK_MYC_TARGETS_V2,1.0
HALLMARK_MYC_TARGETS_V1,1.0
HALLMARK_MTORC1_SIGNALING,1.0
HALLMARK_MITOTIC_SPINDLE,1.0
HALLMARK_KRAS_SIGNALING_UP,1.0
HALLMARK_KRAS_SIGNALING_DN,1.0
HALLMARK_HEME_METABOLISM,1.0
HALLMARK_GLYCOLYSIS,1.0
HALLMARK_XENOBIOTIC_METABOLISM,1.0
HALLMARK_FATTY_ACID_METABOLISM,1.0
HALLMARK_E2F_TARGETS,1.0
HALLMARK_ANGIOGENESIS,1.0
HALLMARK_APICAL_JUNCTION,1.0
HALLMARK_APICAL_SURFACE,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.0
HALLMARK_COMPLEMENT,1.0
HALLMARK_DNA_REPAIR,1.0
HALLMARK_BILE_ACID_METABOLISM,1.0
HALLMARK_ANDROGEN_RESPONSE,0.995
HALLMARK_UV_RESPONSE_UP,0.995
HALLMARK_NOTCH_SIGNALING,0.995
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.96
HALLMARK_SPERMATOGENESIS,0.955
HALLMARK_ALLOGRAFT_REJECTION,0.925
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.91
HALLMARK_PEROXISOME,0.9
HALLMARK_IL2_STAT5_SIGNALING,0.845
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.795
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.75
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.75
HALLMARK_INFLAMMATORY_RESPONSE,0.695
HALLMARK_HYPOXIA,0.685
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.675
HALLMARK_TGF_BETA_SIGNALING,0.67
HALLMARK_ESTROGEN_RESPONSE_LATE,0.625
HALLMARK_APOPTOSIS,0.375
HALLMARK_COAGULATION,0.32
HALLMARK_HEDGEHOG_SIGNALING,0.205
HALLMARK_PROTEIN_SECRETION,0.145
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.14
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.115
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.1
