repeat,fold,n_normal_in_fold,top_plate_share,flag
0,0,8,0.38,
0,1,8,0.38,
0,2,9,0.44,
0,3,8,0.62,HIGH CONCENTRATION - A32Z accounts for 62% of this fold's normal samples
0,4,8,0.38,
1,0,8,0.38,
1,1,8,0.5,
1,2,9,0.67,HIGH CONCENTRATION - A32Z accounts for 67% of this fold's normal samples
1,3,8,0.38,
1,4,8,0.38,
2,0,8,0.5,
2,1,8,0.25,
2,2,8,0.5,
2,3,9,0.44,
2,4,8,0.5,
3,0,8,0.38,
3,1,8,0.38,
3,2,9,0.56,HIGH CONCENTRATION - A32Z accounts for 56% of this fold's normal samples
3,3,8,0.75,HIGH CONCENTRATION - A32Z accounts for 75% of this fold's normal samples
3,4,8,0.38,
4,0,8,0.62,HIGH CONCENTRATION - A32Z accounts for 62% of this fold's normal samples
4,1,8,0.5,
4,2,8,0.5,
4,3,9,0.44,
4,4,8,0.25,
