"ensembl_id","gene_symbol"
"ENSG00000196616","ADH1B"
"ENSG00000133742","CA1"
"ENSG00000103375","AQP8"
"ENSG00000197273","GUCA2A"
"ENSG00000100604","CHGA"
"ENSG00000204936","CD177"
"ENSG00000137673","MMP7"
"ENSG00000080493","SLC4A4"
"ENSG00000060718","COL11A1"
"ENSG00000133392","MYH11"
"ENSG00000183034","OTOP2"
"ENSG00000062038","CDH3"
"ENSG00000226629","LINC00974"
"ENSG00000142959","BEST4"
"ENSG00000168748","CA7"
"ENSG00000170419","VSTM2A"
"ENSG00000143171","RXRG"
"ENSG00000079689","SCGN"
"ENSG00000111404","RERGL"
"ENSG00000163815","CLEC3B"
