strategy,ensembl_id,elastic_net_coefficient,gene_symbol
data_driven,ENSG00000196616,-0.126290,ADH1B
data_driven,ENSG00000133742,-0.103508,CA1
data_driven,ENSG00000103375,-0.097106,AQP8
data_driven,ENSG00000197273,-0.086798,GUCA2A
data_driven,ENSG00000100604,-0.085858,CHGA
data_driven,ENSG00000204936,-0.084003,CD177
data_driven,ENSG00000137673,0.077240,MMP7
data_driven,ENSG00000080493,-0.075418,SLC4A4
data_driven,ENSG00000060718,0.073522,COL11A1
data_driven,ENSG00000133392,-0.068755,MYH11
de_informed,ENSG00000183034,-0.077386,OTOP2
de_informed,ENSG00000062038,0.059054,CDH3
de_informed,ENSG00000226629,-0.057148,LINC00974
de_informed,ENSG00000142959,-0.056118,BEST4
de_informed,ENSG00000168748,-0.055143,CA7
de_informed,ENSG00000170419,-0.050881,VSTM2A
de_informed,ENSG00000143171,-0.050657,RXRG
de_informed,ENSG00000079689,-0.050115,SCGN
de_informed,ENSG00000111404,-0.049691,RERGL
de_informed,ENSG00000163815,-0.043045,CLEC3B
